"external_ref","source","is_chargeback","status"
_-UTDS0dMlagMWEtQKMy-,GLOBALPAY,false,true
_0fqf75KiPa0iiviKCSsU,GLOBALPAY,false,true
_0H9Ecd_RctsLetId-p14,GLOBALPAY,false,true
_0wBrMzAzIhO3fQRWUcBH,GLOBALPAY,false,true
_25jZuGDrmwUEdAwKp1xV,GLOBALPAY,false,true
_2TnPB1sTeVMRGgPeJgPq,GLOBALPAY,false,true
_37I67fDT_R1JwRLapxub,GLOBALPAY,false,true
_3bP0LK5iGNfoDqsSVH6d,GLOBALPAY,false,true
_41mGNzXrD15Tlma3Wss5,GLOBALPAY,false,true
_4LpGZpMKfnF2-qy2s4xE,GLOBALPAY,false,true
_5MHWIEhKFmt2XRCWEng-,GLOBALPAY,false,true
_7HYjiX_2LU3XGDw3eR7Q,GLOBALPAY,false,true
_8gs3jpOWa3PNWcAAZdk_,GLOBALPAY,false,true
_9_pyoZGFtyiJJBxQ_dcv,GLOBALPAY,false,true
_Ad1I-XvqVgP6CjhrMqQP,GLOBALPAY,false,true
_ADOn_-E3rWv-EQGjd7MN,GLOBALPAY,false,true
_aV7Yz6Fk6ALRHPAiCutJ,GLOBALPAY,false,true
_BGaoAXp-aLm6vJGVt2g6,GLOBALPAY,false,true
_bJk9E6LfFnOm2PpH-tmj,GLOBALPAY,false,true
_byyfOJZcIuNBqPRPZQeb,GLOBALPAY,false,true
_CFMkDMzLNbLt429mA5FF,GLOBALPAY,false,true
_cXgmk1M1FLw0FGRPWzHy,GLOBALPAY,false,true
_DMEpE0EMJ_8SCQbOops5,GLOBALPAY,false,true
_E-wU9inBJk4UZVBU-LVA,GLOBALPAY,false,true
_F_UZ5tMYtyq_dfJIc73l,GLOBALPAY,false,true
_fCFoDQH630Zzc1CY9bTb,GLOBALPAY,false,true
_fHiHOMRxsefJ_bg8Ue4Q,GLOBALPAY,false,true
_FZv9nQt9bnZAcovcnZ6i,GLOBALPAY,false,true
_g4h28_oBFxKbfo4eGzro,GLOBALPAY,false,true
_G5i3ahRBvttlAyukzPtG,GLOBALPAY,false,true
_g8eEbt8kXOs0IRxDsR0c,GLOBALPAY,false,true
_GKgD6nnavJg2j1OB9RX7,GLOBALPAY,false,true
_hbuPYfgDhdZc5XdGn_-Z,GLOBALPAY,false,true
_hNGYDZcRx8AUCCPYXRNA,GLOBALPAY,false,true
_HOF3E4XE_k_OrNK2oTqZ,GLOBALPAY,false,true
_jxCcBoxIak9XkMEDB7oY,GLOBALPAY,false,true
_k_sjh1ptYzRIfFG_neuB,GLOBALPAY,false,true
_k2C_LyUs0T2oO_PyHoIH,GLOBALPAY,false,true
_kqj3Qy6S6RmUDr3y8Gh6,GLOBALPAY,false,true
_kTvqf3YbSe2gtjKHsDmo,GLOBALPAY,false,true
_MFEdDPn5P80_rkbjuAg7,GLOBALPAY,false,true
_n1JVQ-sQthlzCVBuVp__,GLOBALPAY,false,true
_nJjXUR6c6siLFrmxGNyw,GLOBALPAY,false,true
_nNlDiPl6UfQVXxNpFird,GLOBALPAY,false,true
_NYOklFJMAJAmhtcPMjWE,GLOBALPAY,false,true
_OEAhI1qdCFmwrH4On9NY,GLOBALPAY,false,true
_orD_q8g3tlLybPlhdkrw,GLOBALPAY,false,true
_oS_QRjCblsDZbL0yiMxZ,GLOBALPAY,false,true
_OZPZ7i0dmeKJFDBtjvFF,GLOBALPAY,false,true
_PfeZllHQI3MQxuzAbVDC,GLOBALPAY,false,true
_pUDicFuOU-gJRAz6SV0v,GLOBALPAY,false,true
_Q_w29ajd2xa1QGueGngg,GLOBALPAY,false,true
_qAUhES1gsJaXFQDQnhhx,GLOBALPAY,false,true
_qFEABZme3kTsHiSclp1e,GLOBALPAY,false,true
_QhAAhQhIwDJ1rU91aBSy,GLOBALPAY,false,true
_qOgyxAErOTDAVeftrByb,GLOBALPAY,false,true
_QuaETNQKfWV2kvUhI3CW,GLOBALPAY,false,true
_QvHGVmw0bp3Nsem5lvNr,GLOBALPAY,false,true
_rEoYDyUivaQyg77Hvbyu,GLOBALPAY,false,true
_rZL1aszB3MmeUx9U8CXq,GLOBALPAY,false,true
_S1vZUFPF-DhmoUYKNI8G,GLOBALPAY,false,true
_swBp4cjTk2p2A5unmqXC,GLOBALPAY,false,true
_SXXz09fBEXPFiiFn75Gg,GLOBALPAY,false,true
_sy6rbUdNwLPdN_9kRMyr,GLOBALPAY,false,true
_TukhgOU5CcpgVtced7a-,GLOBALPAY,false,true
_tXUmRetxc1eiiA9CVy5H,GLOBALPAY,false,true
_u4nhmEPD1UgumYHnHo32,GLOBALPAY,false,true
_ugC1-mNe32D3qsMBRqYw,GLOBALPAY,false,true
_UIn39WNSp-1lXlNpLzlf,GLOBALPAY,false,true
_VOL6ueLTV1Z_sTP57bu9,GLOBALPAY,false,true
_vq07wvN3NYdfSYztYwXw,GLOBALPAY,false,true
_VrNSCZTQhWWvGp4qkYGB,GLOBALPAY,false,true
_W4MosZ8v7elHrLxPdcAW,GLOBALPAY,false,true
_wdtBR36-2CGGowXBh3UK,GLOBALPAY,false,true
_whluPhTwHZrppqIHm2GX,GLOBALPAY,false,true
_WHq6Gd0Do9ECKbE5765_,GLOBALPAY,false,true
_x3eI8077_W9VSoc7DP8o,GLOBALPAY,false,true
_xdKGgs7eRhg8_YGLaIqM,GLOBALPAY,false,true
_XwswYl0D67Z-2yDR7QbT,GLOBALPAY,false,true
_YETI56EmIkrR02MIL7Ky,GLOBALPAY,false,true
_YJM0Om15xXN4GgA5WZIJ,GLOBALPAY,false,true
_zerM4ko__mRcCZdl4_YK,GLOBALPAY,false,true
_Zh6WxkjtHgNmZvTA6R8F,GLOBALPAY,false,true
_ZhdA5GjjrPkYxkD9kjsb,GLOBALPAY,false,true
_zKfB2ROSswcwgkgYju3O,GLOBALPAY,false,true
_zluGR9d4maL8H6ykTv5B,GLOBALPAY,false,true
_zoC5_2OciZFDfUP6naU5,GLOBALPAY,false,true
_zP890ZOYtefXD8vptVM8,GLOBALPAY,false,true
_Zq9Wt6vFoaep0cJkuM5u,GLOBALPAY,false,true
-_eEafKn8M04w9EQ3ec5u,GLOBALPAY,false,true
-_q4NCaKktKZtP0iaFpJD,GLOBALPAY,false,true
-_sfsRUXaHYsKGR_MDY3P,GLOBALPAY,false,true
--eF3ueX-mUnhxwnZrijY,GLOBALPAY,false,true
--HnLxBy7iePIC7TO5J9x,GLOBALPAY,false,true
-1q2i_DHXlxTAhM_j31-h,GLOBALPAY,false,true
-2Bvfu1meFh2ONq0CR0ie,GLOBALPAY,false,true
-3LMg3ttrcaXOGD2o0M-m,GLOBALPAY,false,true
-4-fZVGC9c2SYl6CJgijO,GLOBALPAY,false,true
-6FNBKvOSpcDGMGlz24f_,GLOBALPAY,false,true
-7a9jKHknKX5YC_I38r02,GLOBALPAY,false,true
-7OB1m8k_Yqg0GemWQ0gs,GLOBALPAY,false,true
-A-GFA7cQQR4mwUXWPcMW,GLOBALPAY,false,true
-a6e3g0js3-6O15JjzHv8,GLOBALPAY,false,true
-ahDihrd6BtHLe3RFtPVD,GLOBALPAY,false,true
-aISfYky4p18FITJaWahH,GLOBALPAY,false,true
-akQ2eB9LY4obYvTHPeaV,GLOBALPAY,false,true
-Awym0KfiBX00shR3o1D9,GLOBALPAY,false,true
-b6No9ZdHIfZwaptfM5AA,GLOBALPAY,false,true
-b9IHhN5C71S6JiHs03au,GLOBALPAY,false,true
-BHlHHY9dSRmvVV-mbu7u,GLOBALPAY,false,true
-bTcJVgl7NBjDjdbvMKg1,GLOBALPAY,false,true
-BUJALJ9rpqUP5L7eC8mT,GLOBALPAY,false,true
-CfRxZMhzGJyY_jmyMV8j,GLOBALPAY,false,true
-CPS166aVhUgt2w8yyuZW,GLOBALPAY,false,true
